"model1"  "model2"  "chi2"  "df"  "P.val"
"198"  "TN93"  "GTR+G"  5.54334  4  0.2359
"199"  "TN93"  "GTR+I+G"  5.63488000000001  5  0.3434
"200"  "TN93+I"  "TN93+I+G"  0.0273799999999937  1  0.8686
"201"  "TN93+I"  "GTR+I"  5.54558000000003  3  0.1359
"202"  "TN93+I"  "GTR+I+G"  5.63850000000002  4  0.2278
"203"  "TN93+G"  "TN93+I+G"  0.0271399999999744  1  0.8691
"204"  "TN93+G"  "GTR+G"  5.54671999999999  3  0.1359
"205"  "TN93+G"  "GTR+I+G"  5.63826  4  0.2278
"206"  "TN93+I+G"  "GTR+I+G"  5.61112000000003  3  0.1321
"207"  "GTR"  "GTR+I"  -0.00231999999999744  1  1
"208"  "GTR"  "GTR+G"  -0.000940000000014152  1  1
"209"  "GTR"  "GTR+I+G"  0.0905999999999949  2  0.9557
"210"  "GTR+I"  "GTR+I+G"  0.0929199999999923  1  0.7605
"211"  "GTR+G"  "GTR+I+G"  0.0915400000000091  1  0.7622
